Data,Sentiment
" এই নাটকটিও যে এতো ভালো,তা জানা ছিলোনা। এখন রাত ১২;৫৫মিনিট। নাটকটি খুব মজা নিয়ে দেখছি।শুধু বিভিন্নরকম এ্যাড খুবই প্যারা দিচ্ছে।",1
 অসাধারণ বাস্তব জীবনের কাহিনী,1
" প্রথমেই পরিচালককে অনেক ধন্যবাদ এত সুন্দর একটা নাটক উপহার দেয়ার জন্য।বেশির ভাগ নাটকে আমরা অভিনেত্রী-অভিনেতার ছ্যাবলামি দেখি,  সে তুলনায় এটা একটু আলাদা। এই নাটকে হাসি, আনন্দ -বেদনার ছাড়াও একটা বার্তা আছে যা অন্য সব নাটকে দেখা যায়না।পরিশেষে শুভকামনা রইল।",1
 অসাধারণ কাহিনী আর অসাধারণ অভিনয়। কেন যে আমাদের দেশের মেয়েরা এমন নাটক গুলা না দেখে ইন্ডিয়ার সিরিয়ালের পেছনে পড়ে থাকে।,1
 এবং মায়ের অভিনয় টা অনেক সুন্দর হয়ছে এবং এমন মা সবার ঘরে হোক,1
 অসাধারণ অভিনয়!!,1
 নিশো ভাই আপনার ওভিনয় রে ভাই মানতেই হইবো আসা করি ২০১৯ এর সেরা নাটক এই টাই হবে,1
 আ.খ.ম হাসান গ্রাম বাংলার সেরা অভিনেতা,1
 আমার প্রিয় নায়ক বলে কথা।,1
"চমৎকার, বাংলাদেশের প্রতিটি ঘরে ঘরে এরকম সন্তানের প্রয়োজন যাতে অসৎ দুর্নীতিবাজ অভিভাবকদের উচিত শিক্ষা দেয়া যায়। ঘরে ঘরে দুর্গ গড়ে তোলো , তোমাদের যার যা কিছু আছে তাই নিয়ে এইসব অসৎ দুর্নীতিবাজদের বিরুদ্ধে প্রতিরোধ গড়ে তোলো। জয় বাংলাদেশ",1
 অপূর্ব মানেই হিট  অপুব নাটক গুলো সবচেয়ে ভালো লাগে আমার তবে সবার ক্ষেত্রে কেমন সেটা জানি না ।,1
" সত্যিকার প্রথম ভালবাসা কোনদিন ভুলার না,",1
 খুব সুন্দর নাটক,1
 Wow! অসাধারণ গল্প। অনেক সুন্দর একটা নাটক। জয় হোক বাংলাদেশের নাটকের।,1
" স্বল্প পরিসরে এমন আবেগস্পর্শী নাটক একমাত্র বাংলাভাষায় সম্ভব, আর যখন নাট্যকার হিসেবে বৃন্দাবনবাবু তখন গল্প অসাধারণ হবেই । খুশী ম্যাডাম এর অভিনয়ের বিচার আমার মত সাধারণের সম্ভব নয় । কলকাতা থেকে সকলকে ঈদের শুভেচ্ছা ।",1
" অনেকটা বাস্তবাদি নাটক,অনেক ভালোবাসা নিশো ভাই আর নামাজের জন্য আরো বেশি ভালো লাগলো।",1
 এক কথা অসাধারণ নাটক,1
 আসলে রিয়েল হিরো অফ দ্যা আফরান নিশো।,1
 অসাধারণ ভালোলাগা,1
 ভাললোই লাগল,1
 অসাধারণ নাটক!,1
" এই বারের ঈদের st class একটা নাটক Full time উপভোগ করলাম, দারুন  শামীম ভাইয়ার acting",1
 খুব ভালো গল্প ছিলো,1
 এই নাটকটা খুবই ভালো লাগছে  আমি বলব অনেক অসাধারণ নাটক,1
 অসাধারন নাটক। মন ছুঁয়ে যাওয়ার মত একটি নাটক ।,1
" ব্যাকগ্রাউন্ড মিউজিক টা কে মাথা থেকে বের করতে পারছি নাঅনেক অসাম একটা মিউজিক,,,,,,,,",1
" সবাই কান্নার কথা বলল... চোখে পানি আমার আসল বা না আসলো সে কথা থাক... আমার একটা বড় বোন আছে, মায়ের চেয়ে বেশী ভালোবাসা পাই আমি বোনের কাছে... আমার মাথায় বোন আর কলিজ্বায় যেন ভাগ্নেকে রাখতে পারি আল্লাহর কাছে আমার এই দোয়া... বৃন্দাবন দাসের এমন সামাজিক নাটকের  মাধ্যমে আমরা আমাদের সমাজের এমন অনেক কালো চিত্র দেখতে পাই.. অসাধারণ উনার লেখনি... খুশি আপার অভিনয়...  আমার মতন একজন মানুষ তার অভিনয়ের মূল্যায়ন করবে এতে উনার কাজের অপমান ই করা হবে,ছোট ছোট আবেগ গুলোকে যে মায়াতে উনি দেখয়েছেন তার জন্য প্রসংশা অনেক ছোট শব্দ,, তবে একটা কথা উনার কাজের মূল্যায়ন আমার চোখের পানি...  এছাড়াও অন্যান্য সকল শিল্পী  তাদের নিজ নিজ চরিত্রের সাথে কোন কার্পন্য করেননি....",1
" প্রতিটি মেদের প্রতি অনুরোধ ইন্ডিয়ার সিরিয়াল গুল বরজন করো, তাদের থেকে আমাদের নাটক গুল হাজার গুনে ভাল........",1
 অনেক সুন্দর হয়েছে,1
 অনেক সুন্দর।,1
" সত্যি অসাধারণ একটি নাটক দেখলাম,,,  সালের বেষ্ট নাটক বলছি আমি,,,,, খুবই ভালো লেগেছে আমার,  Nisho vaia r Mehazabien apu k onek sundor Lagace......",1
" বহুবছর ধরে নাটক দেখছি , কিন্তু আমার দেখা সেরা নাটক এটা",1
 বাংলা নাটকে খারাপ ভাষা ব্যবহার না করলে ভাল হত। খারাপ ভাষা ব্যবহারের কারনে আমি এই নাটককে বর্জন করলাম।,1
" অসাধারন ছি‌লো, রি‌য়ে‌লি গ্রেট",1
 অসাধারণ.,1
 অVery nice next য় পব্ টা দিবেন ⚘⚘⚘⚘⚘⚘⚘⚘,1
 নামাজের দৃশ্যটা   খুব ভালো লাগলো,1
 অপূর্ব সুন্দর নাটক।,1
 অসাধারণ কাহিনী।,1
" এই নাটক টা দেখে  আমার  লাইফের সাথে কিছু কিছু মিলে গেছে, ধন্যবাদ ভাইয়া নাটকটা দেওয়ার জন্য।",1
" নাটক টা ভাল্লাগছে, ভাবতাছি আমার গফ টা কোন দিন যে আমারে এমন কইরা সাজাবে??যাক, আসল কথা হকো শেষের দিকে নামাজ না পড়ে ৯টায় উঠেই কি চা খাইছে?????",1
 এক কথায় অসাধারণ হয়েছে.... বাস্তব  জীবনের সাথে মিলে যায়,1
 অনেক সুন্দর নাটক আগে তো জানতাম না সত্যাি নাইছ,1
 নাটক টি খুব সুন্দর হইছেআরফান ভাই এবং তিশা আপু খুব ভালো জুটি,1
" কি বলবো বুঝতে পারছিনা,,,,একদম ব্যতিক্রম গল্প,,,,,,দাুরন দারুন দারুন",1
 এদের জুটি অনেক ভালো লাগে,1
" গল্পটা যেমন ছিলো তাতে যদি ড্রামা আরেকটু কম হতো, তাহলে হয়তো অন্যরকম লেভেলের একটা ভালোলাগা কাজ করতো। তারপরেও যথেষ্ট ভালো হয়েছে। হয়তো বছরের সেরা নাটকটা এটাই ছিলো আমার কাছে।",1
" সত্যি ভীষণ ভালো লাগলো, প্রাণ খুলে অনেক দিন পর হাঁসলাম। অনুরোধ রইলো এই ধরনের আরো নাটক আমাদের উপহার দেওয়ার জন্য।",1
 বাংলা নাটক সেরা,1
" আমি বাংলাদেশি তাই বাংলা নাটক ই দেখতে ভালবাসি,,।",1
" আমার মনে হয়,, বছরের সেরা নাটক হবে,,,,, এই নাটক টা।",1
 হৃদয় স্পর্শ করা কাহিনী। ভিতর টাতে  যেন কেমন চিন চিন করে খুপরে যাচ্ছে।,1
" ধন্যবাদ,,,,এতো সুন্দর নাটক উপহার দেয়ার জন্য",1
 এক কথায় অসাধারন,1
" মিজান ভাই, শেষের দৃশ্যটাতে অয়ন যখন সায়রাকে জড়িয়ে ধরলো আর জেরিনের ছবি দেখছিল তখন ডিলিট করে দিয়ে সায়রাকে জড়িয়ে ধরলে আরো ভাল হত।",1
 অনেক ভালো লাগলো।,1
 আরফান নিশো তানজিন তিশা জুটিটা অনেক সুন্দর,1
 অনেক সুন্দর লাগলো নাটক টি।,1
" তুই আমার শালি আমি তোর দুলাভাই এতোটুকুই এটার থেকে বাড়াবাড়ি করবিনা, ওয়াও ভেরি নাইস এই সময়টা খুবই ভালো লাগছে নিশো ভাই কথার স্টাইলে একদম সাইজ কইরা দিছিলো তিশাকে",1
 ছোট কিন্তু অনেক সুন্দর একটা স্ক্রিপ্ট।  আর ওভিনয় এর কথা আর নাই বললাম। অনেক ভালো লাগল।,1
 আফরান নিশোর লুকটা অনেক সুন্দর ছিলো।,1
" বাকরুদ্রু হোয়ে গেছি,,,,,খুব বেশি ভালো লেগেছে",1
" নাইছ,,,ভালো লাগলো",1
" কত পুস্প দেখিলাম ফুটিলোফুটিয়া ফুটিয়া আবারও নিভিলো...কিসের এতো দম্ভ তোমারজীবনের আলো নিবে তো যাবে যে কোন সময়।অসাধারণ নাটক উপহার দেওয়ার জন্য নাটকের পরিচালক সহ সকলকে জানাই আন্তরিক অভিনন্দন, ধন্যবাদ এবং গভীর ভালোবাসা। বাপের এক পোলা",1
 অসম্ভব ভালো লেগেছে।  বছরের শুরুতে চমৎকার একটি নাটক দেখলাম।,1
 সত্যি ভালোবাসা গুলো এই ভাবে বেঁচে থাকুক সারাজীবন ......এক কথায় অসাধারণ একটি নাটক,1
 আমার জীবনে সেরা একটা নাটক দেখলাম।,1
 সুপার হিট নাটক টা,1
 ধন্যবাদ পরিচালক কে,1
 ভালো লাগলো ভাই আপনার নাটক গুলো অনেক ভালো লাগে,1
 শেষের কথা গুলো অসাধারণ ছিল। সবাইকে নামাজ পরতে হবে,1
" The End নাটকটি তে অনেক ভালো সাড়া পেয়েছি,আশা করি এভাবেই সবসময় পাশে থাকবেন,এই ঈদে আরো বেশকিছু কাজ আসছে আমার,আশা করি সেগুলোও ভালো লাগবে আপনাদের,আমার জন্য দোয়া করবেন,ভালোবাসা রইল সবার জন্য",1
" অনেকদিন পর এতো সুন্দর একটা নাটজ দেখলাম। নাটকের চরিত্র, সংলাপ, দৃশ্যপট এককথায় অসাধারণ। ধন্যবাদ এই নাটকের নাট্যকার, কলা-কুশলী, পরিচালক ও সংশ্লিষ্ট সকলকে। সেই সাথে অকৃত্রিম ভালোবাসা ও শুভ কামনা রইল ইরফান সাজ্জাদ ভাই ও তানজিন তিশা আপুর প্রতি।",1
 ভাই অসাধারণ,1
 নাটকটি অনেক অনেক সুন্দর লাগল ' দন্যবাদ পরিচালক মাম্মা,1
 সুন্দর হয়েছে আরো ভালো করা উচিত ছিলো?,1
 অসধারন নাটক কিন্তো শেষে বিষয়টা যে  বেচে আছে কিনা সব কিছোই সফল হলো যে কোন একটাত দেখে বোজতে পারতাম যে এটাই আমার বাস্থবতা সাথে মিল,1
 আরিয়ান ভাইয়ের কাজ মানেই some differentSo nice story,1
" একজন কে  ভুলার জজন্য আমি অনেক গুলা রিলেসন করছি,, ব্যাপারটা এমন,, ছাইলে ও হয় না,, সব মানুষকি এমন,, একন আর কোন প্রেম করি না...করবো না...যাকে বিয়ে করবো,, তাকে অনেক অনেক ভালোবাসবো,,*আই লাভ ইউ মাই  ডিয়ার হবু বউবিয়ে ইজ রিয়েল আর বাকি সব পক পক""""""""""""",1
" Love you BOSS,  ভাই আফনার নাটক গুলো আর লম্বা হলে ভালো হয়, যেমন ধরেন ৫০, ৬০ মিনিটের ।",1
 গ্রেট নাটক,1
" আমি অনলাইন এ নাটক দেখে  মনে মনে কমেন্ট করে এবং অন্যদের করা কমেন্ট গুলো পড়ে চলে যাই  সত্যি কথা বলতে এই নাটক টা এতো ভালো লাগে যে কমেন্ট না করে যেতে পারতেছিনা,দুইজন মিলে এতো সুন্দর একটা জীবন কাহিনী জীবিত করে তুলবে,সত্যি অসাধারণ।বাস্তবরূপ  বিসরী বিসরণ..... """"!!!",1
 অসাধারণ এক কথায়,1
 অসাধারণ ভাই,1
" "" ভালোবাসার ডাকপিয়নের "" ওয়ান অফ দ্যা বেষ্ট রাইটার ""জাহেদ"" ভাইয়ের গল্পে ঈদ নাটক দেখে খুব ভাল লাগতেছে । আশাকরি ভাইয়া আরো গল্প পাব এমন । -আনাস",1
 তোমার চোখে রাখলে দুচোখবুকের ভেতর চমকআর কিছু যায় না বলাএটা হয় যদি প্রেম হোক...,1
 এক কথায় অসাধারণ,1
" সততি অসাদারন,",1
 অপূর্ব ভাইয়ার সাথে মেহেজাবিন অাপু কে দারুন লাগে । নাটকের সেরা জুটি অামার কাছে .......,1
 অসাধারণ হইছে,1
 অসাধারণ একটি নাটক খুব ভালো লাগলো।  ধন্যবাদ  আফরান নিশো ভাইয়া কে এবং তানজিল তিশা আপুকে ।,1
 আশা করি নাটক টি ভালোই হবে,1
